,0,1,2
238,"Antibodies, in vitro diagnostic",antibodies,8
239,"Antibodies, Phospho-Specific",phosphospecific,1
240,Antigen Presentation,antigen presentation,2
241,Antigens,antigens,3
242,Anti-inflammatory effect,anti-inflammatory drug,1
243,Antimicrobial susceptibility,sensitivities,1
244,Antimicrobial Susceptibility Result,susceptible,1
245,Antineoplastic Agents,antineoplastic,1
246,Antioxidant Response Elements,antioxidant response element,1
247,Antioxidant Response Elements,ARE,2
248,Antioxidant Response Elements,antioxidant response elements,1
249,Antisense Orientation,antisense orientation,1
250,Anxiety,anxiety,1
251,AP1 complex location,AP1 complex,1
252,AP1 complex location,AP-1 complex,1
253,AP1M2 gene,mu2,3
254,"APC protein, human",APC,1
255,"APC protein, human",Apc,1
256,APH1A gene,Aph-1a,3
257,APH1A gene,APH-1a,1
258,APH1B gene,Aph-1b,1
259,APH1B gene,APH-1b,1
260,Apical Ectodermal Ridge,apical ectodermal ridge,1
261,Apoptosis,programmed cell death,3
262,Apoptosis,apoptosis,20
263,Apoptosis,apoptotic cell death,1
264,Apoptosis,Apoptotic cell death,1
265,Apoptosis,apoptosis protein,1
266,apparent,apparent,4
267,Appearance,appearance,1
268,Application Dosing Unit,application,2
269,AraC Transcription Factor,transcriptional regulator,4
270,Architecture as Topic,architecture,1
271,Area,areas,1
272,ARF1 gene,Arf1,1
273,ARF6 gene,ARF6,1
274,Arginine,arginine,4
275,Arginine,Arginine,1
276,arginine methyltransferase,arginine methyltransferase,1
277,Argininosuccinate,argininosuccinate,1
278,arginyl-glycyl-aspartic acid,RGD,1
279,ARHGEF5 gene,p60,3
280,ARID1B wt Allele,Bright,1
281,Arm or Leg Response Group 4,group 4,1
282,ARNTL gene,BMAL1,2
283,Array,array,2
284,Arterial,arterial,1
285,Arteries,arteries,5
286,As Directed,directed,2
287,ASB2 gene,ASB2,1
288,Aspartic Acid,aspartic acid,1
289,Aspects of congenital malformations,malformations,1
290,Assay,assay,2
291,Assembly (construction),assembly,9
292,Assembly (construction),assemble,1
293,Assessed,assess,2
294,Assessed,assessed,1
295,Associate - assistant,associates,15
296,Associate - relationship,associate,4
297,Associated with,associated with,40
298,Asthma,asthma,1
299,astral microtubule organization,microtubule organization,1
300,Asymmetrical synapse,asymmetric synapses,1
301,ATAD1 gene,Thorase,2
302,Ataxia,ataxia,2
303,Ataxia Telangiectasia,ataxia telangiectasia,1
304,"Ataxia, Spinocerebellar",spinocerebellar ataxia,1
305,ATF2 gene,Atf2,1
306,ATG7 gene,ATG7,2
307,Atherogenesis,atherogenesis,1
308,"Atmosphere, unit of pressure",ATM,3
309,Atom (substance),atoms,2
310,ATP-dependent chromatin remodeling,ATP-dependent chromatin remodeling,1
311,ATR gene,ATR,2
312,Attention deficit hyperactivity disorder,hyperkinetic disorders,1
313,Attention deficit hyperactivity disorder,hyperkinetic disorder,1
314,Attention deficit hyperactivity disorder,attention-deficit hyperactivity disorder,1
315,Attenuated by (contextual qualifier),attenuated,1
316,Atypical,atypical,1
317,Auditory recruitment,recruitment,21
318,Auditory recruitment,Recruitment,1
319,Author,authors,1
320,Autism Spectrum Disorders,autism spectrum disorder,3
321,Autism Spectrum Disorders,ASD,5
322,Autism Spectrum Disorders,ASDs,2
323,Autism Spectrum Disorders,autism spectrum disorders,1
324,Autoimmune Diseases,autoimmune diseases,2
325,Autoimmune Diseases,autoimmune disease,2
326,autolysosome formation,autolysosome formation,1
327,Autophagosome,autophagosomes,1
328,autophagosome assembly,autophagosome formation,1
329,Autophagy,Autophagy,2
330,Autophagy,autophagy,38
331,Autophagy-Related Protein 5,autophagy protein,1
332,Autophagy-Related Proteins,autophagy-related proteins,1
333,Autosomal dominant inheritance,autosomal dominant,1
334,Auxilins,auxilin,1
335,Availability of,availability,1
336,Availability of,iron availability,1
337,Average of Value Derivation Technique,average,1
338,avoidance,avoidance,1
339,Awake,awake,1
340,Axial,axial,2
341,Axial skeleton structure,axial skeleton,1
342,AXIN2 gene,Axin2,1
343,Axon,axons,6
344,Axon,axon,1
345,Axon,axonal,2
346,Axon,axoneme structure,1
347,axon development,axoneme development,1
348,axon growth,axon growth,1
349,Axon Guidance,axon guidance,1
350,axonal guidance,axonal guidance,1
351,Axoneme,axoneme,2
352,B cell apoptotic process,cell apoptosis,1
353,B4GALT1 gene,GT1 gene,1
354,Background,BACKGROUND,1
355,Bacterial,bacterial,1
356,Bacterial Count Measurement,bacteria,1
357,Baculovirus,baculoviruses,1
358,Bad,Bad,3
359,Baker's Antifol,BAF,3
360,Bands,bands,1
361,Basal,basal,4
362,basal RNA polymerase II transcription machinery binding,RNA polymerase II transcription machinery,1
363,basal transcription machinery binding,basal transcription machinery,1
364,Base Pairing,base pairs,1
365,Base Sequence,nucleotide sequences,2
366,Base Sequence,nucleotide sequence,1
367,Baseline,baseline,2
368,Basement membrane,basement membrane,1
369,Basic Helix-Loop-Helix Transcription Factors,bHLH transcription factor,2
370,Basic Helix-Loop-Helix Transcription Factors,bHLH protein,1
371,Bay-K-8644,Bay K8644,1
372,BC-2 protein,chromatin-modifying proteins,1
373,b-cell proliferation,B cell proliferation,1
374,B-Cell Receptor Complex,B cell receptor,1
375,B-Cell Survival Pathway,cell survival pathways,1
376,BCL2 gene,BCL2,1
377,BCL2 gene,Bcl-2,1
378,"BCR protein, human",BCR,3
379,BCYRN1 gene,Brain cytoplasmic RNA 1,1
380,BCYRN1 gene,BC1,1
381,Bead Dosage Form,beads,1
382,Beck Lethality Scale,lethality,2
383,Beclin-1,Beclin1,1
384,Beclin-1,Beclin 1,5
385,BECN1 gene,Becn1,1
386,BECN1 gene,BECN1,3
387,Behavior,cell behavior,1
388,Behavior,behavior,2
389,Behavior,behaviors,1
390,Behavioral Domain,behavioral,4
391,Beneo Synergy 1,synergy,1
392,Best Case Imputation Technique,BC,1
393,beta catenin,beta-catenin,7
394,beta1-adrenergic receptor activity,beta1-adrenergic receptor,1
395,beta1-adrenergic receptor activity,beta1AR,3
396,beta-adrenergic receptor,beta-adrenergic receptors,1
397,beta-catenin binding,bind beta-catenin,1
398,beta-Chemokines,CC chemokine genes,1
399,Beta-defensin 2 Measurement,BD2,4
400,"Beta-Galactosidase, human",beta-galactosidase gene,1
401,beta-Sheet,beta-sheets,2
402,BHLHE22 gene,beta3,2
403,Bilateral Disease,bilateral disease,2
404,Binding (Molecular Function),physical interaction,3
405,Binding (Molecular Function),molecular interactions,1
406,Binding action,binding,43
407,Binding action,bind,29
408,Binding action,binds,15
409,Binding action,Binding,1
410,Binding Proteins,binding proteins,1
411,Binding Sites,binding site,6
412,Binding Sites,binding sites,4
413,Biochemical,biochemical,4
414,Biochemical Activity,biochemical activity,1
415,Biochemical Pathway,pathways,7
416,Biochemical Pathway,pathway,11
417,Biochemical Pathway,molecular pathways,1
418,Biochemistry,biochemistry,1
419,Bio-Informatics,bioinformatics,1
420,biological,biological,7
421,biological,biologically active,1
422,biological adaptation to stress,stress response,1
423,biological adaptation to stress,stress responses,2
424,Biological Evolution,evolution,2
425,Biological Markers,marker,1
426,Biological Markers,molecular markers,1
427,Biological Models,model system,3
428,Biological Processes,biological processes,5
429,Biological Processes,biological function,1
430,biological signaling,signaling,12
431,biological signaling,signalling,7
432,biological signaling,Signaling,1
433,biological signaling,Met signaling,1
434,biological signaling,Signalling,1
435,Biophysics,biophysical,2
436,Biopolymer Sequencing,sequencing,4
437,Biopolymer Sequencing,Sequencing,2
438,Biosynthetic Pathways,biosynthetic pathway,1
439,"BIRC4 protein, human",XIAP,7
440,BIRC5 gene,surviving,1
441,Birth,born,1
442,Birth Weight,birth weights,1
443,bis(2-hydroxybenzylidene)acetone,bis(2-hydroxybenzylidene)acetone,1
444,Bisulfite Sequencing,bisulfite genomic sequencing,1
445,"Blastocyst Implantation, natural",embryo implantation,1
446,Blastocyst structure,blastocysts,2
447,Block Dosage Form,block,1
448,Blockage (obstruction - finding),blockage,1
449,Blocking,blocking,4
450,blood phenylalanine measurement by Guthrie microbiologic assay,phenylalanine,3
451,Blood Platelets,platelet,1
452,Blood Platelets,platelets,3
453,Blood Pressure,blood pressure,1
454,blood pressure regulation,blood pressure regulation,1
455,Blood Transfusion,transfusion,1
456,Blood Vessel,blood vessels,1
457,Blood Vessel,vascular structures,2
458,Blood Vessel,blood vessel,1
459,Blood Vessel,vascular tone,1
460,blood vessel morphogenesis,blood vessel morphogenesis,1
461,Blunted,blunted,1
462,B-Lymphocytes,B cells,7
463,B-Lymphocytes,B lymphocytes,2
464,B-Lymphocytes,B-cell line,1
465,BMP1 gene,Bmp1,1
466,Body growth,body growth,1
467,Body structure,body,2
468,Body Surface Area,surface area,2
469,Body temperature measurement,temperature,1
470,Body tissue,tissues,29
471,Body tissue,tissue,9
472,Bone Development,bone development,1
473,Bone Marrow,bone marrow,1
474,Bone Marrow-Derived Cell,bone marrow-derived,1
475,Bone remodeling,remodeling,2
476,Bone remodeling,remodelling,1
477,Bone Resorption,osteoclastic bone,1
478,Bone Resorption,bone resorption,1
479,Bone structure of tibia,tibia,1
480,Borg Category-Ratio 10 Perceived Exertion Score 10,maximal,1
481,Bos taurus,bovine,1
482,Brachyury protein,brachyury,1
483,BRAHMA,Brm,1
484,Brain,brain,45
485,Brain,brains,3
486,brain development,developmental brain,3
487,brain development,brain development,9
488,brain function,brain function,2
489,Brain Gray Matter,brain gray matter,1
490,brain size,brain size,2
491,brain tissue surgical material,brain tissue,1
492,Brain-Derived Neurotrophic Factor Measurement,BDNF,3
493,Brain-Derived Neurotrophic Factor Measurement,brain-derived neurotrophic factor,1
494,Branched,branched,1
495,Branchial arch structure,pharyngeal arch,1
496,Branching (qualifier value),branching,2
497,BRCA1 gene,BRCA1,2
498,BRD4 gene,mitotic chromosome-associated protein,1
499,BRD4 gene,MCAP,7
500,BRD4 gene,Brd4 gene,1
501,BRD4 gene,Brd4,39
502,BRD4 gene,protein bromodomain-containing 4,1
503,Breast,breast,3
504,Breast Carcinoma,breast carcinoma,1
505,Breast Feeding,lactation,3
506,Brefeldin A,brefeldinA,1
507,Bromodeoxyuridine,BrdU,1
508,Bromodomain,bromodomains,8
509,Bromodomain,bromodomain,2
510,Bromodomain Containing Protein 2,BRD4,9
511,Bromodomain Containing Protein 2,Brd2,1
512,brown adipose tissue uncoupling protein,uncoupling,1
513,Brown color,brown,1
514,Brown Fat,brown fat,1
515,Brown Fat,brown adipose tissue,2
516,Brown Fat,BAT,1
517,Brucellosis,Mediterranean fever,1
518,BTB-POZ Domain,BTB/POZ domain,1
519,BTC gene,betacellulin,2
520,BTC gene,BTC,2
521,"BTK protein, human",Bruton\'s tyrosine kinase,2
522,C17orf96 gene,C17orf96,1
523,C2 Domains,C2 domain,2
524,C7orf49 gene,MRI,1
525,C9orf72 gene,C9orf72,12
526,CA3 Term Type,CA3,1
527,CACNA1C gene,Cav1.2,1
528,CACNA1C gene,CaV1.2,1
529,CADM1 gene,Synaptic cell adhesion molecules,1
530,Caenorhabditis elegans,C. elegans,3
531,Caenorhabditis elegans,Caenorhabditis elegans,1
532,Calcineurin,Calcineurin,1
533,Calcineurin,calcineurin,3
534,Calcineurin B,calcineurin B,1
535,Calcium Channel,calcium channels,1
536,calcium channel activity,calcium channel,6
537,calcium channel activity,Calcium channel,1
538,Calcium Signaling,calcium-mediated signaling,1
539,CALM1 wt Allele,CaM,1
540,Calmodulin,calcium-dependent,1
541,calorie unit of energy,CAL,11
542,"Calorimeters, Isothermal Titration",Isothermal titration calorimetry,1
543,Calvaria,calvaria,1
544,Calvarial skull defect,cranial defects,1
545,Cancer Biology,cancer cell biology,1
546,Cancer Pain,cancer-associated,1
547,cancer-predisposing genes,susceptibility gene,1
548,Candidate Disease Gene,candidate genes,2
549,Capacity,capacity,4
550,"CAP-Gly Domain-Containing Linker Protein 1, human",CLIP-170,10
551,Carboxy-Terminal Amino Acid,C-terminal region,2
552,Carboxy-Terminal Amino Acid,C-terminal portion,1
553,Carboxy-Terminal Amino Acid,C-terminal amino acids,1
554,Carboxy-Terminal Amino Acid,C-terminal,1
555,Cardiac - anatomy qualifier,cardiac,4
556,cardiac development,cardiac development,2
557,Cardiac dysfunction,cardiac dysfunction,1
558,Cardiac function,cardiac function,1
559,Cardiac Hypertrophy,cardiac hypertrophy,6
560,Cardiac Hypertrophy,Cardiac hypertrophy,1
561,cardiac muscle cell differentiation,cardiac muscle differentiation,1
562,Cardiomyocyte hypertrophy,cardiomyocyte hypertrophy,1
563,Cardiomyopathies,cardiomyopathy,1
564,Cardiovascular,cardiovascular,2
565,Cardiovascular Diseases,cardiovascular diseases,1
566,Cardiovascular stress testing,cardiac stress,2
567,cargo loading into vesicle,cargo selection,1
568,Case (situation),cases,5
569,Casein Kinase II,CK2,2
570,CASP14 gene,Mice,8
571,CASP14 gene,mice,96
572,CASP8-Associated Protein 2,FLICE-associated huge protein,1
573,CASP8-Associated Protein 2,FLASH,4
574,caspase,caspases,1
575,Catabolism,degradation,20
576,Catalytic activity property,catalytic activity,1
577,Catalytic Domain,catalytic domains,1
578,Catalytic Domain,catalytic domain,2
579,Catalytic Domain,catalytic subunits,6
580,Cataract,cataracts,1
581,Cation Exchange Resins,cation exchange,2
582,Caveolae,caveolae,1
583,caveolin 1,caveolin-1,2
584,CBFA2T3 wt Allele,Eto2,4
585,CCDC88A gene,KIAA1212,2
586,"CCL2 protein, human",HC11,2
587,CCND1 gene,cyclin D1,4
588,CCND2 gene,cyclin D2,1
589,CCV gene,CCV,1
590,CD300C gene,LIR,1
591,CD40 Antigens,CD40,1
592,CD40LG wt Allele,IgM,3
593,CDC2 Protein Kinase,cdc2 kinase,1
594,cdc42 GTP-Binding Protein,Cdc42,2
595,CDH5 gene,VE-cadherin,1
596,CDISC Events Class,events,1
597,CDISC Findings Class,findings,44
598,CDISC Relationship Class,relationship,2
599,CDISC SDTM Body Position Terminology,position,2
600,CDISC SDTM Lesion Complexity Terminology,complexity,1
601,CDISC SDTM Subject Status Response Terminology,SSTRs,1
602,CDISC SDTM Submission Domain Abbreviation Terminology,domain,16
603,CDISC SDTM Submission Domain Abbreviation Terminology,D,2
604,"CDK2 protein, human",CDK2,1
605,CDK4/6 Inhibition,CDK4/6 inhibitors,1
606,CDK5 gene,Cdk5,3
607,CDK5 gene,CDK5,1
608,"CDK6 protein, human",CDK6,2
609,"CDK6 protein, human",CDK4/6,6
610,CDK9 gene,Cdk9,1
611,cDNA Library,cDNA library,1
612,cDNA Library,cDNA libraries,2
613,CEL gene,cell,11
614,Cell Adhesion,cell adhesion,3
615,Cell Adhesion Molecules,CAMs,5
616,Cell Adhesion Molecules,cell adhesion molecules,1
617,Cell body of neuron,neuronal cell,1
618,cell cortex,cell cortex,1
619,Cell Count,Treg cell numbers,1
620,Cell Cycle,cell division cycle,1
621,Cell Cycle Arrest,cell cycle arrest,1
622,cell cycle phase transition,cell cycle transition,1
623,Cell Cycle Progression,cell cycle progression,1
624,cell cycle regulator,cell cycle regulators,1
625,Cell Death,cell death,5
626,Cell Differentiation process,cell differentiation,1
627,Cell division,cell division,9
628,cell fate,Cell fate,1
629,cell growth,B cell growth,1
630,cell growth,general cell growth,1
631,cell growth,cell growth,3
632,cell growth,expansion,3
633,Cell Invasion,cancer cell invasion,1
634,cell leading edge,leading edge,1
635,Cell metabolism,cell metabolism,1
636,cell motility,cell motility,3
637,cell motility,cellular motility,1
638,Cell Movement,cell movement,3
639,Cell Nucleolus,nucleoli,2
640,Cell Nucleus,cell nucleus,2
641,Cell Nucleus,nucleus,32
642,Cell of bone,bone cells,1
643,cell periphery,cell periphery,2
644,Cell physiology,cellular physiology,1
645,Cell physiology,cellular functions,4
646,Cell physiology,cell functions,2
647,Cell physiology,cellular function,1
648,Cell Polarity,cell polarity,1
649,Cell Proliferation,cell proliferation,12
650,Cell Proliferation,cellular proliferation,2
651,Cell Respiration,cellular respiration,1
652,Cell secretion,secreted,1
653,Cell secretion,secretory,2
654,Cell surface,cell surface,9
655,Cell Surface Extensions,membrane protrusions,1
656,Cell Surface Proteins,cell surface proteins,1
657,Cell Survival,cell survival,13
658,cell type,cell types,10
659,cell type,cell type,1
660,cell-cell adhesion,cell-cell adhesion,2
661,Cells,cells,49
662,Cells,ES cells,5
663,Cells,Cells,4
664,Cellular,cellular,3
665,cellular localization,cellular localizations,1
666,Cellular Morphology (discipline),cell morphology,1
667,cellular process,cellular processes,3
668,cellular process,cellular process,1
669,cellular response to DNA damage stimulus,genotoxic stress response,1
670,cellular response to DNA damage stimulus,DNA damage response,1
671,cellular response to DNA damage stimulus,DDR,4
672,cellular response to pH,cellular response,2
673,cellular targeting,targeting,9
674,cellular targeting,Targeting,1
675,cellular_component,cellular components,2
676,CELSR3 gene,epidermal growth factor-like,1
677,Central Nervous System,central nervous system,8
678,Central Nervous System,CNS,10
679,Centric heterochromatin,condensed centromeric heterochromatin,1
680,centriole replication,centriole duplication,1
681,Centromere,centromeres,1
682,centromere protein F,CENP-F,1
683,Centrosome,centrosome,8
684,Centrosome,centrosomes,3
685,centrosome duplication,centrosome duplication,1
686,centrosome localization,centrosome localization,1
687,"Ceramide Kinase, Human",lipid kinase,1
688,Cerebellum,cerebellum,11
689,Cerebral cortex,cerebral cortex,6
690,Cerebral cortex,cerebral cortices,1
691,Certain (qualifier value),confident,2
692,Cervical atypism,cellular abnormality,1
693,Cessation of life,died,7
694,Chain device,chain,1
695,chain of objects,chains,2
696,Chamber of eye,anterior chamber aqueous,1
697,Changing,changes,15
698,Changing,modified,3
699,Changing,modifies,2
700,Changing,altered,4
701,Channel,channel,2
702,channel activity,channel activity,1
703,Characteristics,characteristics,2
704,Characteristics,characteristic,2
705,Characterization,Characterization,2
706,Characterization,characterization,9
707,Characterization,characterized,5
708,Characterization,uncharacterized,2
709,CHD1 gene,CHD1,19
710,CHD1 gene,CHD,3
711,CHD1 gene,chromodomain helicase DNA-binding,1
712,CHD1 gene,Chd1,5
713,"CHD1 protein, human",chromodomain-helicase-DNA-binding protein,1
714,CHD1 wt Allele,CHD-1,2
715,CHD8 gene,axis duplication inhibitor,1
716,CHD8 gene,CHD8,9
717,"CHD8 protein, human",Duplin,4
718,Checkpoint kinase 1,CHK1 kinase,1
719,Chemical Cleavage,cleavage,3
720,chemical cofactor,cofactors,1
