text,Canonical Name,Concept ID,TUI(s),Score,start,end
activate,Activation action,C1879547,T052,1,7539,7540
activation,Activation action,C1879547,T052,1,7894,7895
activate,Activation action,C1879547,T052,1,8027,8028
activated,Activation action,C1879547,T052,1,8126,8127
activate,Activation action,C1879547,T052,1,8230,8231
activated,Activation action,C1879547,T052,1,8247,8248
activate,Activation action,C1879547,T052,1,8411,8412
activates,Activation action,C1879547,T052,1,9472,9473
activate,Activation action,C1879547,T052,1,10618,10619
activated,Activation action,C1879547,T052,1,10883,10884
activated,Activation action,C1879547,T052,1,11024,11025
activated,Activation action,C1879547,T052,1,11124,11125
activate,Activation action,C1879547,T052,1,11762,11763
Activation,Activation action,C1879547,T052,1,11807,11808
activation,Activation action,C1879547,T052,1,11839,11840
activated,Activation action,C1879547,T052,1,11897,11898
activation,Activation action,C1879547,T052,1,14324,14325
activating,Activation action,C1879547,T052,1,14389,14390
activating,Activation action,C1879547,T052,1,14674,14675
activation,Activation action,C1879547,T052,1,14701,14702
activation,Activation action,C1879547,T052,1,15807,15808
activation,Activation action,C1879547,T052,1,15973,15974
activation,Activation action,C1879547,T052,1,16014,16015
activation,Activation action,C1879547,T052,1,17032,17033
activation,Activation action,C1879547,T052,1,17275,17276
activate,Activation action,C1879547,T052,1,19290,19291
activation,Activation action,C1879547,T052,1,19355,19356
activated,Activation action,C1879547,T052,1,19376,19377
activation,Activation action,C1879547,T052,1,19500,19501
activate,Activation action,C1879547,T052,1,23857,23858
activated,Activation action,C1879547,T052,1,23876,23877
activation,Activation action,C1879547,T052,1,24472,24473
activation,Activation action,C1879547,T052,1,24635,24636
activation,Activation action,C1879547,T052,1,24688,24689
activation,Activation action,C1879547,T052,1,24699,24700
activation,Activation action,C1879547,T052,1,24715,24716
activation,Activation action,C1879547,T052,1,24721,24722
activation,Activation action,C1879547,T052,1,24731,24732
activation,Activation action,C1879547,T052,1,24828,24829
activates,Activation action,C1879547,T052,1,24899,24900
activates,Activation action,C1879547,T052,1,27209,27210
activated,Activation action,C1879547,T052,1,27221,27222
activated,Activation action,C1879547,T052,1,28133,28134
activated,Activation action,C1879547,T052,1,28161,28162
activated,Activation action,C1879547,T052,1,28189,28190
Activation,Activation action,C1879547,T052,1,28201,28202
activated,Activation action,C1879547,T052,1,28307,28308
activated,Activation action,C1879547,T052,1,28325,28326
activation,Activation action,C1879547,T052,1,29297,29298
activate,Activation action,C1879547,T052,1,31305,31306
activation,Activation action,C1879547,T052,1,31624,31625
activation,Activation action,C1879547,T052,1,31659,31660
activation,Activation action,C1879547,T052,1,31737,31738
activated,Activation action,C1879547,T052,1,31793,31794
activated,Activation action,C1879547,T052,1,31851,31852
activating,Activation action,C1879547,T052,1,32537,32538
activation,Activation action,C1879547,T052,1,32585,32586
activation,Activation action,C1879547,T052,1,33292,33293
activation,Activation action,C1879547,T052,1,33338,33339
activating,Activation action,C1879547,T052,1,33519,33520
activation,Activation action,C1879547,T052,1,35585,35586
activating,Activation action,C1879547,T052,1,36579,36580
activate,Activation action,C1879547,T052,1,36950,36951
Activation,Activation action,C1879547,T052,1,39061,39062
activation,Activation action,C1879547,T052,1,39286,39287
activation,Activation action,C1879547,T052,1,40463,40464
activating,Activation action,C1879547,T052,1,41548,41549
activation,Activation action,C1879547,T052,1,41937,41938
activated,Activation action,C1879547,T052,1,42046,42047
activation,Activation action,C1879547,T052,1,42071,42072
activation,Activation action,C1879547,T052,1,42085,42086
activation,Activation action,C1879547,T052,1,42427,42428
activation,Activation action,C1879547,T052,1,43657,43658
activate,Activation action,C1879547,T052,1,43885,43886
activate,Activation action,C1879547,T052,1,44951,44952
activation,Activation action,C1879547,T052,1,45774,45775
activate,Activation action,C1879547,T052,1,46200,46201
activation,Activation action,C1879547,T052,1,46621,46622
activation,Activation action,C1879547,T052,1,47312,47313
activation,Activation action,C1879547,T052,1,47335,47336
activated,Activation action,C1879547,T052,1,48381,48382
activation,Activation action,C1879547,T052,1,48597,48598
activation,Activation action,C1879547,T052,1,49783,49784
activation,Activation action,C1879547,T052,1,49799,49800
activated,Activation action,C1879547,T052,1,50195,50196
activation,Activation action,C1879547,T052,1,52108,52109
activating,Activation action,C1879547,T052,1,52496,52497
activation,Activation action,C1879547,T052,1,52505,52506
activate,Activation action,C1879547,T052,1,52519,52520
activation,Activation action,C1879547,T052,1,53055,53056
activating,Activation action,C1879547,T052,1,53062,53063
activation,Activation action,C1879547,T052,1,53181,53182
activation,Activation action,C1879547,T052,1,53218,53219
activation,Activation action,C1879547,T052,1,53247,53248
activation,Activation action,C1879547,T052,1,53403,53404
activation,Activation action,C1879547,T052,1,53964,53965
activation,Activation action,C1879547,T052,1,54236,54237
activates,Activation action,C1879547,T052,1,54346,54347
activation,Activation action,C1879547,T052,1,55072,55073
activation,Activation action,C1879547,T052,1,55247,55248
activation,Activation action,C1879547,T052,1,55396,55397
activation,Activation action,C1879547,T052,1,55431,55432
activation,Activation action,C1879547,T052,1,55436,55437
activation,Activation action,C1879547,T052,1,56349,56350
activation,Activation action,C1879547,T052,1,56367,56368
activates,Activation action,C1879547,T052,1,57546,57547
activated,Activation action,C1879547,T052,1,57671,57672
activates,Activation action,C1879547,T052,1,58290,58291
activate,Activation action,C1879547,T052,1,58427,58428
activation,Activation action,C1879547,T052,1,58453,58454
activate,Activation action,C1879547,T052,1,58498,58499
activation,Activation action,C1879547,T052,1,59735,59736
activation,Activation action,C1879547,T052,1,61508,61509
activate,Activation action,C1879547,T052,1,61777,61778
activation,Activation action,C1879547,T052,1,62915,62916
activated,Activation action,C1879547,T052,1,63159,63160
activation,Activation action,C1879547,T052,1,63661,63662
activates,Activation action,C1879547,T052,1,65587,65588
activated,Activation action,C1879547,T052,1,65635,65636
activating,Activation action,C1879547,T052,1,67630,67631
activation,Activation action,C1879547,T052,1,67987,67988
activating,Activation action,C1879547,T052,1,70634,70635
activation function,Activation function,C1321099,T039,1,27061,27063
coactivator function,Activator Appliances,C0001283,T074,0.888901,24053,24055
catalytic site,Active Site,C0205681,T169,1,49524,49526
activities,Activities,C0441655,T052,1,301,302
activities,Activities,C0441655,T052,1,6189,6190
activity,Activities,C0441655,T052,1,8192,8193
activity,Activities,C0441655,T052,1,8331,8332
activity,Activities,C0441655,T052,1,10422,10423
activity,Activities,C0441655,T052,1,18622,18623
activity,Activities,C0441655,T052,1,19542,19543
activity,Activities,C0441655,T052,1,19657,19658
activity,Activities,C0441655,T052,1,19841,19842
activity,Activities,C0441655,T052,1,21387,21388
activity,Activities,C0441655,T052,1,23897,23898
activity,Activities,C0441655,T052,1,25733,25734
activity,Activities,C0441655,T052,1,27094,27095
activity,Activities,C0441655,T052,1,28609,28610
activity,Activities,C0441655,T052,1,29371,29372
activity,Activities,C0441655,T052,1,31466,31467
activity,Activities,C0441655,T052,1,31687,31688
activity,Activities,C0441655,T052,1,33214,33215
activity,Activities,C0441655,T052,1,33630,33631
activities,Activities,C0441655,T052,1,34436,34437
activity,Activities,C0441655,T052,1,34546,34547
activity,Activities,C0441655,T052,1,36628,36629
activity,Activities,C0441655,T052,1,39923,39924
activity,Activities,C0441655,T052,1,40381,40382
activity,Activities,C0441655,T052,1,40494,40495
activity,Activities,C0441655,T052,1,41721,41722
activity,Activities,C0441655,T052,1,45664,45665
activity,Activities,C0441655,T052,1,46382,46383
activity,Activities,C0441655,T052,1,49563,49564
activity,Activities,C0441655,T052,1,49603,49604
activity,Activities,C0441655,T052,1,51819,51820
activity,Activities,C0441655,T052,1,53362,53363
activity,Activities,C0441655,T052,1,53395,53396
activity,Activities,C0441655,T052,1,55118,55119
activity,Activities,C0441655,T052,1,55306,55307
activity,Activities,C0441655,T052,1,55546,55547
activity,Activities,C0441655,T052,1,57554,57555
activity,Activities,C0441655,T052,1,57904,57905
activity,Activities,C0441655,T052,1,60475,60476
activity,Activities,C0441655,T052,1,60578,60579
activity,Activities,C0441655,T052,1,61402,61403
activity,Activities,C0441655,T052,1,65720,65721
activity,Activities,C0441655,T052,1,65899,65900
activity,Activities,C0441655,T052,1,67307,67308
activity,Activities,C0441655,T052,1,67354,67355
activity,Activities,C0441655,T052,1,67590,67591
activity,Activities,C0441655,T052,1,70662,70663
activity-dependent neurotrophic factor,activity-dependent neurotrophic factor,C3883950,T123,1,13684,13687
BAF53a,ACTL6A gene,C1538907,T028,1,45185,45186
BAF53b,ACTL6B gene,C1538908,T028,1,45218,45219
actin cross-linking protein,"ACTN4 protein, human",C1308458,"T116,T123",0.862914,61212,61215
actin-related protein,ACTR2 gene,C1412171,T028,0.962723,45183,45185
acute inflammation,Acute inflammation,C0333361,T033,1,53446,53448
acute leukemias,Acute leukemia,C0085669,T191,1,5997,5999
Scl,Acute Undifferentiated Leukemia,C0280141,T191,0.935297,48666,48667
Scl,Acute Undifferentiated Leukemia,C0280141,T191,0.935297,48740,48741
Scl,Acute Undifferentiated Leukemia,C0280141,T191,0.935297,48812,48813
adaptation,Adaptation,C0392673,T038,1,12855,12856
adaptor,Adapter Device Component,C1706710,T073,1,32942,32943
adaptor,Adapter Device Component,C1706710,T073,1,32962,32963
adaptor,Adapter Device Component,C1706710,T073,1,65710,65711
adaptive thermogenesis,Adaptive Thermogenesis,C4235304,T040,1,25926,25928
Golgi adaptor,Adaptor Protein Complex 1,C0245603,"T116,T123",0.904095,1201,1203
adaptors,Adaptor Protein Complex 2,C0903738,"T116,T123",0.867301,1164,1165
adaptors,Adaptor Protein Complex 2,C0903738,"T116,T123",0.867301,1412,1413
adaptors,Adaptor Protein Complex 2,C0903738,"T116,T123",0.867301,34828,34829
alpha-adaptin,"adaptor protein complex 2, alpha 2 subunit",C0102421,"T116,T123",0.954988,1276,1277
Adaptins,Adaptor Protein Complex beta Subunits,C1135639,"T116,T123",0.85779,1158,1159
beta-adaptins,Adaptor Protein Complex beta Subunits,C1135639,"T116,T123",1,1308,1309
beta-adaptins,Adaptor Protein Complex beta Subunits,C1135639,"T116,T123",1,1314,1315
gamma-adaptin,Adaptor Protein Complex gamma Subunits,C0082661,"T116,T123",1,1217,1218
gamma-adaptin,Adaptor Protein Complex gamma Subunits,C0082661,"T116,T123",1,1267,1268
gamma-adaptin,Adaptor Protein Complex gamma Subunits,C0082661,"T116,T123",1,1316,1317
gamma-adaptin,Adaptor Protein Complex gamma Subunits,C0082661,"T116,T123",1,1386,1387
gamma-adaptins,Adaptor Protein Complex gamma Subunits,C0082661,"T116,T123",0.94584,1404,1405
adaptor protein,"Adaptor Proteins, Signal Transducing",C1449886,"T116,T123",1,24737,24739
signaling adaptor,"Adaptor Proteins, Signal Transducing",C1449886,"T116,T123",0.910137,26386,26388
adaptor proteins,"Adaptor Proteins, Signal Transducing",C1449886,"T116,T123",0.916117,50502,50504
adaptor proteins,"Adaptor Proteins, Signal Transducing",C1449886,"T116,T123",0.916117,69776,69778
lung adenocarcinoma,Adenocarcinoma of lung (disorder),C0152013,T191,1,70790,70792
lung adenocarcinoma,Adenocarcinoma of lung (disorder),C0152013,T191,1,70809,70811
ATPase,Adenosine Triphosphatases,C0001473,"T116,T126",1,67589,67590
adenylate,Adenylate,C0597765,"T114,T123",1,7645,7646
adenylyl cyclase,Adenylate Cyclase,C0001492,"T116,T126",1,56369,56371
Adenylate kinase,ADENYLATE KINASE,C0001497,"T116,T126",1,50615,50617
AK,ADENYLATE KINASE,C0001497,"T116,T126",1,50618,50619
adenylosuccinate,adenylosuccinate,C0050811,T114,1,7643,7644
adipocytes,Adipocytes,C0206131,T025,1,43835,43836
adipocytes,Adipocytes,C0206131,T025,1,43861,43862
adipocytes,Adipocytes,C0206131,T025,1,43898,43899
adipocytes,Adipocytes,C0206131,T025,1,67959,67960
adjacent,Adjacent,C0205117,T082,1,3926,3927
adjacent,Adjacent,C0205117,T082,1,8515,8516
adjacent,Adjacent,C0205117,T082,1,12307,12308
adjacent,Adjacent,C0205117,T082,1,22724,22725
adjacent,Adjacent,C0205117,T082,1,35543,35544
adjacent,Adjacent,C0205117,T082,1,42384,42385
adjacent,Adjacent,C0205117,T082,1,42844,42845
adjacent,Adjacent,C0205117,T082,1,52800,52801
administration,Administration procedure,C1533734,T061,1,43908,43909
cortical,Adrenal Cortex,C0001613,T023,1,18342,18343
cortical,Adrenal Cortex,C0001613,T023,1,20076,20077
cortical,Adrenal Cortex,C0001613,T023,1,23205,23206
cortical,Adrenal Cortex,C0001613,T023,1,29925,29926
cortical,Adrenal Cortex,C0001613,T023,1,30843,30844
cortical,Adrenal Cortex,C0001613,T023,1,34951,34952
cortical,Adrenal Cortex,C0001613,T023,1,40546,40547
cortical,Adrenal Cortex,C0001613,T023,1,47303,47304
cortical,Adrenal Cortex,C0001613,T023,1,51931,51932
cortical,Adrenal Cortex,C0001613,T023,1,68900,68901
cortical,Adrenal Cortex,C0001613,T023,1,68938,68939
cortical,Adrenal Cortex,C0001613,T023,1,68968,68969
cortical,Adrenal Cortex,C0001613,T023,1,69011,69012
Adenylosuccinate lyase,ADSL gene,C1412262,T028,1,7613,7615
Adenylosuccinate lyase,ADSL gene,C1412262,T028,1,7649,7651
adenylosuccinate lyase,ADSL gene,C1412262,T028,1,7701,7703
adenylosuccinate lyase,ADSL gene,C1412262,T028,1,7715,7717
adult,Adult,C0001675,T100,1,143,144
adult,Adult,C0001675,T100,1,710,711
adult,Adult,C0001675,T100,1,2887,2888
adults,Adult,C0001675,T100,1,3233,3234
adult,Adult,C0001675,T100,1,4204,4205
adult,Adult,C0001675,T100,1,4749,4750
adult,Adult,C0001675,T100,1,4767,4768
adult,Adult,C0001675,T100,1,4776,4777
adult,Adult,C0001675,T100,1,4824,4825
adult,Adult,C0001675,T100,1,4849,4850
adult,Adult,C0001675,T100,1,4869,4870
adult,Adult,C0001675,T100,1,4882,4883
adult,Adult,C0001675,T100,1,4916,4917
adult,Adult,C0001675,T100,1,5285,5286
adult,Adult,C0001675,T100,1,5758,5759
adult,Adult,C0001675,T100,1,6674,6675
adult,Adult,C0001675,T100,1,7578,7579
adult,Adult,C0001675,T100,1,8796,8797
adult,Adult,C0001675,T100,1,9205,9206
adults,Adult,C0001675,T100,1,9633,9634
adult,Adult,C0001675,T100,1,9729,9730
adult,Adult,C0001675,T100,1,9792,9793
adult,Adult,C0001675,T100,1,11619,11620
adult,Adult,C0001675,T100,1,12370,12371
adult,Adult,C0001675,T100,1,12407,12408
adult,Adult,C0001675,T100,1,12430,12431
adults,Adult,C0001675,T100,1,13394,13395
adult,Adult,C0001675,T100,1,14139,14140
adult,Adult,C0001675,T100,1,18246,18247
adult,Adult,C0001675,T100,1,19199,19200
adult,Adult,C0001675,T100,1,25441,25442
adult,Adult,C0001675,T100,1,29500,29501
adult,Adult,C0001675,T100,1,32427,32428
adult,Adult,C0001675,T100,1,33501,33502
adult,Adult,C0001675,T100,1,35491,35492
adult,Adult,C0001675,T100,1,38400,38401
adult,Adult,C0001675,T100,1,40768,40769
adult,Adult,C0001675,T100,1,41785,41786
adult,Adult,C0001675,T100,1,44506,44507
adult,Adult,C0001675,T100,1,45113,45114
adult,Adult,C0001675,T100,1,47866,47867
adult,Adult,C0001675,T100,1,47920,47921
adult,Adult,C0001675,T100,1,48756,48757
adult,Adult,C0001675,T100,1,51785,51786
adult,Adult,C0001675,T100,1,52050,52051
adult,Adult,C0001675,T100,1,52065,52066
adult,Adult,C0001675,T100,1,57588,57589
adult,Adult,C0001675,T100,1,57610,57611
adult,Adult,C0001675,T100,1,58994,58995
adult,Adult,C0001675,T100,1,60314,60315
adult,Adult,C0001675,T100,1,63793,63794
adult,Adult,C0001675,T100,1,63816,63817
adult,Adult,C0001675,T100,1,68907,68908
adult,Adult,C0001675,T100,1,68934,68935
adult,Adult,C0001675,T100,1,69002,69003
adult,Adult,C0001675,T100,1,70116,70117
adulthood,Adulthood,C0700597,T079,1,29555,29556
advanced entry,Advanced phase,C0205179,T080,0.850149,14262,14264
vascular,Adverse Event Associated with Vascular,C1558950,T033,1,15821,15822
vascular,Adverse Event Associated with Vascular,C1558950,T033,1,20918,20919
vascular,Adverse Event Associated with Vascular,C1558950,T033,1,36038,36039
AF-1 domain,AF-1 domain binding,C1323330,T044,0.859686,27097,27099
AF-2,AF-2,C0878311,"T109,T131",1,10446,10447
AF-2,AF-2,C0878311,"T109,T131",1,10456,10457
affecting,Affecting,C0392760,T169,1,11159,11160
affecting,Affecting,C0392760,T169,1,11304,11305
affected,Affecting,C0392760,T169,1,28460,28461
affected,Affecting,C0392760,T169,1,45429,45430
affecting,Affecting,C0392760,T169,1,46897,46898
affected,Affecting,C0392760,T169,1,51593,51594
affecting,Affecting,C0392760,T169,1,63084,63085
affected,Affecting,C0392760,T169,1,64741,64742
afferent,Afferent,C0205115,T082,1,16511,16512
affinity,Affinity,C1510827,T070,1,1755,1756
affinity,Affinity,C1510827,T070,1,4797,4798
affinity,Affinity,C1510827,T070,1,7536,7537
affinity,Affinity,C1510827,T070,1,14980,14981
affinity,Affinity,C1510827,T070,1,17003,17004
affinity,Affinity,C1510827,T070,1,33370,33371
affinity,Affinity,C1510827,T070,1,40794,40795
affinity,Affinity,C1510827,T070,1,47755,47756
affinity,Affinity,C1510827,T070,1,57089,57090
affinity,Affinity,C1510827,T070,1,57094,57095
affinity,Affinity,C1510827,T070,1,67648,67649
fibrinogen deficiency,Afibrinogenemia,C0001733,T047,1,49158,49160
onset,Age of Onset,C0206132,T081,1,60515,60516
age,Age:Time:Point in time:^Patient:Quantitative,C1114365,T201,1,63853,63854
aggregates,Aggregate,C0205418,T080,1,28520,28521
aggregation,Aggregation,C0332621,T169,1,42959,42960
aging,Aging,C0001811,T040,1,54401,54402
agonist,Agonist,C2987634,T121,1,580,581
agonist,Agonist,C2987634,T121,1,33039,33040
agonists,agonists,C0243192,T121,1,10298,10299
agonists,agonists,C0243192,T121,1,33205,33206
accord,Agreement,C0680240,T054,1,9934,9935
Aha1,AHSA1 gene,C1412886,T028,1,67632,67633
AK3,AK3 gene,C1412307,T028,1,50649,50650
AK3,AK3 gene,C1412307,T028,1,50658,50659
AK4,AK4 gene,C1424944,T028,1,50638,50639
AK4,AK4 gene,C1424944,T028,1,50660,50661
AK4,AK4 gene,C1424944,T028,1,50677,50678
AK4,AK4 gene,C1424944,T028,1,50685,50686
AK4,AK4 gene,C1424944,T028,1,50743,50744
AK4,AK4 gene,C1424944,T028,1,50761,50762
AK4,AK4 gene,C1424944,T028,1,50772,50773
AK4,AK4 gene,C1424944,T028,1,50785,50786
AK4,AK4 gene,C1424944,T028,1,50799,50800
A-kinase anchoring protein 150,AKAP10 gene,C1412312,T028,0.865075,66371,66375
